时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
1.409199,6465,32585,36054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41127,6496,32609,36106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.429612,6523,32649,36168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.430612,6553,32678,36221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.451003,6574,32712,36277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.453978,6596,32739,36329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.469478,6619,32761,36373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.470479,6643,32707,36398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.489524,6667,32552,36424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.490545,6684,32559,36453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.510287,6708,32572,36481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.51139,6726,32592,36510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.529807,6742,32619,36551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.53111,6755,32654,36596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.549429,6772,32697,36662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.550786,6778,32748,36724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.558676,6793,32784,36782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.580616,6800,32799,36809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.581651,6815,32800,36819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.599364,6829,32792,36814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60038,6847,32784,36809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.619575,6859,32782,36816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.620581,6874,32788,36831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
