时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
2.608432,5319,32083,35493,0,0,0,0,0,0,0,0,0.00427,0,0.002806,0,0.4375,0
2.609513,0,0,0,0,0,0,0,0,0,0,0,0.005368,0.005246,0,0,0,0
2.626711,5328,32093,35519,0,0,0,0,0,0,0,0,0,0.002318,0.002562,0,0,0
2.629252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.648573,5338,32098,35532,0,0,0,0,0,0,0,0,0,0.000122,0.000366,0,0,0
2.649627,0,0,0,0,0,0,0,0,0,0,0,0.042456,0,0,0,0,0
2.667494,5345,32098,35528,0,0,0,0,0,0,0,0,0,0.021228,0,0,0,0
2.669761,0,0,0,0,0,0,0,0,0,0,0,0,0.003172,0.012322,0,0,0
2.688382,5353,32099,35528,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0
2.689544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.70748,5356,32097,35529,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0.9625
2.708979,0,0,0,0,0,0,0,0,0,0,0,0,0.003904,0,0,0.35,1.4175
2.718354,5358,32095,35522,0,0,0,0,0,0,0,0,0,0.001464,0,0,0,1.54
2.71957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7875,1.5925
